,title,company_name,location,pay,summary_bullets,post_url
22,Senior Engineer - PHP,TVS Next,"Chennai, Tamil Nadu",NA,"•Develop, record and maintain cutting edge web-based PHP , Angular applications on portal plus premium service platforms.",https://www.indeed.com/viewjob?jk=ec13a14b9cf64eb1
23,Senior PHP Developer,NA,"Ambattur, Chennai, Tamil Nadu",NA,•Should have 2+ experience with interface development.,https://www.indeed.com/viewjob?jk=4acd49c8edd18b6b
24,PHP Laravel Developer,NA,"Adyar, Chennai, Tamil Nadu",NA,•Strong in JavaScript and CSS.,https://www.indeed.com/viewjob?jk=09e8c68f74bd4b2c
25,PHP Programmer,NA,"Chennai, Tamil Nadu",NA,"•Experience in web development using PHP, MySQL, HTML, CSS, JQuery, and JavaScript.",https://www.indeed.com/viewjob?jk=6a57110272758455
26,DigitalBCG | Platinion Engineer,Boston Consulting Group,"Chennai, Tamil Nadu",NA,•Expertise in key aspects of software engineering such as…,https://www.indeed.com/viewjob?jk=882cdfc63556e652
27,Full Stack Developer,NA,"Chennai, Tamil Nadu",NA,•8-10+ years of professional experience in software development after completing an undergraduate degree.,https://www.indeed.com/viewjob?jk=4de2b40ea0724f12
28,Senior Engineer - Drupal,TVS Next,"Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=860e993b5ca14463
29,React Native Developer,NA,"Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=2aa75fd505b80d5b
30,Senior Process Executive - AR - Cash Applications,NA,"Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=8e01ea30d81721c9
31,Lead Technical Architect (IT Jobs),NA,"Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=5fd1026de73e53da
32,PHP DEVELOPER,NA,"Velachery, Chennai, Tamil Nadu",NA,"•You will participate in the coding, unit testing, integration testing and maintenance.",https://www.indeed.com/viewjob?jk=85343520f1982b28
33,Junior Laravel Developer (PHP),NA,"Remote in Chennai, Tamil Nadu",NA,•Software development: 1 year (Preferred).,https://www.indeed.com/viewjob?jk=07c571c68a6a7d6a
34,Web Designer,NA,"Temporarily Remote in Chennai, Tamil Nadu",NA,•We are looking for a talented Web Designer to create amazing user experiences.,https://www.indeed.com/viewjob?jk=de143bd25706b34b
35,Open Source Developer/ Drupal Developer / Php Developer,NA,"Alandur, Chennai, Tamil Nadu",NA,"•Knowledge in Wordpress, Drupal, PHP, HTML5, CSS3 and jQuery.*.",https://www.indeed.com/viewjob?jk=f6f456da9f512f18
36,Software Development Engineer - FinTech,ADCI - Tamil Nadu,"Chennai, Tamil Nadu",NA,•0-2 years of non-internship professional software development experience.,https://www.indeed.com/viewjob?jk=78a1086c02ed6eae
37,Tech Lead,Xerago,"Chennai, Tamil Nadu",NA,•People who can able to re-locate can also apply.,https://www.indeed.com/viewjob?jk=ace56968c9d0c9a0
38,PHP Developer,NA,"Chennai, Tamil Nadu",NA,"•Good knowledge in front-end technologies, such as JavaScript, HTML5, and CSS3.",https://www.indeed.com/viewjob?jk=1749b94c055321ce
39,PHP Developer,NA,"Chennai, Tamil Nadu",NA,•Software development: 1 year (Preferred).,https://www.indeed.com/viewjob?jk=17eeed426dda2540
40,Sr. JavaScript Developer,NA,"Remote in Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=c3ebb409125bc283
41,PHP Developer,NA,"Remote in Chennai, Tamil Nadu",NA,•Software development: 1 year (Preferred).,https://www.indeed.com/viewjob?jk=c9ce36beb7c5095b
42,PHP Developer,Kaspon Techworks Private Ltd,"Chennai, Tamil Nadu",NA,•Strong Experience in Laravel and javascript.,https://www.indeed.com/viewjob?jk=4955715374154e8c
43,Angular Developer,NA,"Chennai, Tamil Nadu",NA,•Software development: 1 year (Preferred).,https://www.indeed.com/viewjob?jk=ec25b8b4d00851d5
44,PHP Developer,NA,"Chennai, Tamil Nadu",NA,•Software development: 3 years (Required).,https://www.indeed.com/viewjob?jk=9b38b4313ed07618
45,HR Team Leader (Non IT Jobs),NA,"Chennai, Tamil Nadu",NA,"•Strong command over HR management software like applicant tracking systems, payroll systems, etc.",https://www.indeed.com/viewjob?jk=21400e024a3d9977
46,Web Developer,NA,"Chennai, Tamil Nadu",NA,•Appreciation for the accountability that comes with delivering quality software.,https://www.indeed.com/viewjob?jk=9d00a4c2277aa63a
47,PHP Developer,NA,"Chennai, Tamil Nadu",NA,•Developing business platform based on the requirements and expectations of the business under the supervision of project manager.,https://www.indeed.com/viewjob?jk=c5c50f7c22788bbf
48,Web Developer-Senior,NA,"Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=6c28762d4288a436
49,PHP/MySQL Developer,NA,"Chennai, Tamil Nadu",NA,•Strong knowledge and experience with web software development PHP / other tools.,https://www.indeed.com/viewjob?jk=1e8ceceed1c3fc25
50,PHP Laravel Developer,NA,"Chennai, Tamil Nadu",NA,•1+ years of experience in web development and software design.,https://www.indeed.com/viewjob?jk=3c37a7afa8926989
51,Website Designer,NA,"Chennai, Tamil Nadu",NA,"•Job Types: Full-time, Regular / Permanent.",https://www.indeed.com/viewjob?jk=dd679abf3aeaff87
52,PHP Developer,Six Sigma,"Chennai, Tamil Nadu",NA,•Experience - Minimum No.Of Years 2.0.,https://www.indeed.com/viewjob?jk=263ac6cdd8d48b3c
53,PHP Developer,NA,"Chennai, Tamil Nadu",NA,•Even freshers who already completed certification in PHP or have 3 to 4 months experience can apply.,https://www.indeed.com/viewjob?jk=0a25ff1374186530
54,Flutter Developer,NA,"Chennai, Tamil Nadu",NA,•Even freshers who already completed certification in PHP or have 3 to 4 months experience can apply.,https://www.indeed.com/viewjob?jk=0feedd64c08b9f10
55,PHP LARAVEL / CODINGNITER Developer,NA,"Mogappair, Chennai, Tamil Nadu",NA,•Proficient understanding of software unit testing.,https://www.indeed.com/viewjob?jk=8ef6296aac63a170
56,S-Logix (OPC),NA,"Chennai, Tamil Nadu",NA,•Working skill in open source software development is a plus.,https://www.indeed.com/viewjob?jk=f2aad9ec1ce9a467
57,ApaRev Capital Pvt Ltd,NA,"Chennai, Tamil Nadu",NA,"•1.Working with JAVA or Python or other language to design, develop and debug the applications.",https://www.indeed.com/viewjob?jk=05c58522cc09a491
58,Fresher - PHP Developer,NA,"Ashok Nagar, Chennai, Tamil Nadu",NA,"•Candidates should have strong knowledge in PHP, MYSQL ,HTML and JavaScript.",https://www.indeed.com/viewjob?jk=ef2c05fe47bd1127
59,RIP- IT Solutions,NA,"Chennai, Tamil Nadu",NA,•Software Developers with Minimum 1years experience in PHP/Java.,https://www.indeed.com/viewjob?jk=55d574446f9ff9b3
